Age,ArenaSize,Paternity,Treatment,TotDist,MeanVel,LatencyZ2360,CumDur%Z2,MeanMeander,FreqZAlter,FreqTransZ1>Z2,MeanTurnAngle,MeanAngVel,Mean%Activ,Mean%Mobility
14,58,318,25,274.126,0.762526,360,0,-692.53,0,0,-0.269794,-8.0939,0.0177819,4.18743
14,58,318,25,496.111,1.38245,90.9991,3.64444,326,2,1,0.227282,6.81853,0.0157392,5.05176
21,58,318,5,858.231,4.71733,234.031,1.5087,174.771,8,4,0.104011,3.12036,0.0649456,6.40878
21,58,318,5,2207.32,6.16921,2.26664,10.1166,46.6513,5,3,0.187679,5.63042,0.115781,11.0069
21,58,318,5,680.55,1.8957,257.264,2.64717,-225.505,1,1,-1.38669,-41.6011,0.0386588,5.73327
21,58,318,5,224.396,0.62886,342.797,4.88346,158.888,1,1,-2.21824,-66.548,0.0139969,2.97892
21,58,318,5,459.559,1.29832,360,0,77.7193,0,0,-0.831417,-24.9427,0.0375649,4.06058
21,58,318,5,1610.38,4.5802,171.098,2.1186,-127.3,4,2,-0.477164,-14.3151,0.102622,9.40461
21,58,318,5,1278.14,3.55208,35.1663,5.05135,-106.243,1,1,0.298186,8.94568,0.0806068,7.95537
15,58,39,5,1470.08,4.08511,48.8995,1.85973,-279.129,1,1,0.246454,7.39368,0.0508719,9.2661
15,58,39,5,1526.84,4.24835,94.6657,1.56481,67.348,3,2,-0.170993,-5.12986,0.0440878,8.46101
15,58,39,5,878.383,2.44156,46.2995,1.30459,29.8912,1,1,0.20111,6.03336,0.0320797,5.20375
15,58,39,5,639.799,1.75257,113.132,7.6874,337.462,1,1,0.574719,17.2417,0.0255059,5.17491
15,58,39,5,1192.19,3.31966,79.8325,2.1188,-909.812,3,2,-1.73515,-52.055,0.0412619,8.91903
15,58,39,5,1368.52,3.80361,135.999,0.869726,-89.8328,1,1,0.582485,17.4747,0.0410322,7.31747
15,58,39,5,510.907,1.42078,360,0,-682.096,0,0,-0.419383,-12.5816,0.0208748,5.12542
15,58,39,5,107.346,0.298545,53.5661,21.2797,771.471,1,1,1.28965,38.69,0.00127244,3.04339
15,58,39,5,355.114,1.04049,357.096,0.0370096,34.4731,1,1,0.748991,22.47,0.00866513,5.85614
