Age,ArenaSize,Paternity,Treatment,TotDist,MeanVel,MeanTimeZ1,FreqZ1,CumDurZ1,LatencyZ1,CumDur%Z1,MeanTimeZ2,MeanTimeZ2Zero,FreqZ2,CumDurZ2,LatencyZ2,LatencyZ2360,CumDur%Z2,MeanMeander,TotMeander,FreqZAlter,FreqTransZ1>Z2,FreqTransZ2>Z1,MeanTurnAngle,VarTurnAngle,MeanAngVel,Mean%Activ,Tot%Act,Mean%Mobility
14,58,39,5,2712.66,7.54224,14.6607,23,337.197,0,93.6493,2.32914,2.32914,8,18.6331,32.7663,32.7663,5.17497,225.166,2428420,1,1,0,1.07462,3003.14,32.2389,0.0572547,617.779,13.7419
14,58,39,5,3298.1,9.17934,35.5396,10,355.396,0,98.6948,0.522217,0.522217,9,4.69995,46.8995,46.8995,1.30519,17.4924,188323,1,1,0,0.0984997,3686.95,2.95502,0.0654166,705.125,16.9263
14,58,39,5,2410.2,6.69196,50.9138,7,356.396,0,98.8261,0.833325,0.833325,5,4.16662,170.732,170.732,1.15537,175.602,1896320,1,1,0,-0.647707,3095.55,-19.4314,0.063171,682.563,13.3229
14,58,39,5,415.781,1.15539,180.065,2,360.13,0,99.963,0.133332,0.133332,1,0.133332,348.697,348.697,0.0370096,175.79,1896950,1,1,0,1.21458,12419.7,36.4377,0.00773641,83.5223,4.37677
14,58,318,5,245.953,0.683778,360.096,1,360.096,0,100,0,0,0,0,0,360,0,-234.823,-2532800,0,0,0,1.11206,11645.4,33.362,0.00673103,72.6345,4.47171
14,58,318,5,1225.97,3.40866,89.1658,4,356.663,0,99.0557,1.13332,1.13332,3,3.39997,114.166,114.166,0.94427,-64.3085,-693567,1,1,0,1.01194,5058.71,30.3585,0.0227536,245.512,9.29067
14,58,318,5,731.602,2.03413,36.6182,9,329.563,0,91.5293,4.99439,4.99439,6,29.9664,101.466,101.466,8.32253,289.713,3124550,1,1,0,0.626166,10408.4,18.7852,0.013297,143.475,9.19579
14,58,318,5,1113.7,3.09621,53.605,6,321.63,0,89.3178,7.69326,7.69326,5,38.4663,41.5329,41.5329,10.6822,107.257,1156870,1,1,0,0.101747,5388.85,3.05243,0.0251491,271.383,12.3268
14,58,318,5,1493.9,4.15092,119.254,3,357.763,0,99.2785,2.39998,2.39998,1,2.39998,37.233,37.233,0.665988,15.3025,165129,1,1,0,-0.47975,3329.55,-14.3926,0.030663,331.13,14.0498
14,58,318,5,1995.77,5.5459,21.3706,16,341.93,0,94.8848,1.22888,1.22888,15,18.4331,52.1661,52.1661,5.11516,95.1841,1026750,1,1,0,-0.147857,4324.41,-4.43576,0.0392846,424.116,15.5329
14,58,318,5,1815.71,5.05071,32.4027,11,356.43,0,99.0001,0.749992,0.749992,4,2.99997,192.631,192.631,0.833256,-83.2137,-896794,1,1,0,-1.17245,7871.6,-35.1738,0.0225991,243.822,14.1629
14,58,39,5,1418.48,3.70202,47.6454,8,381.163,0,99.357,0.405552,0.405552,6,2.43331,0.833325,0.833325,0.634286,2.99024,34354.8,1,1,0,0.344249,8767.6,10.3276,0.0268363,308.484,7.32201
14,58,39,5,3370.33,9.36905,50.8043,7,355.63,0,98.7505,0.749992,0.749992,6,4.49995,3.66663,3.66663,1.24954,16.3998,176905,1,1,0,-0.560853,594.447,-16.8258,0.098611,1064.21,16.7921
14,58,39,5,2694.24,7.48683,179.182,2,358.363,0,99.4542,1.96665,1.96665,1,1.96665,238.898,238.898,0.545791,-76.734,-827960,1,1,0,0.477087,2705.74,14.3127,0.0632954,683.337,13.8012
14,58,39,5,1824.42,5.02645,44.7162,8,357.73,0,98.4497,1.08666,1.08666,5,5.43328,144.765,144.765,1.49528,12.5563,136650,1,1,0,-0.10765,6595.41,-3.22955,0.0400304,435.891,11.8747
14,58,33,0,2201.18,6.12182,15.9514,22,350.93,0,97.3823,0.833325,0.833325,1,0.833325,126.365,126.365,0.231246,-112.695,-1214740,2,1,1,-0.414039,3688.17,-12.4213,0.0267778,289.147,19.8651
14,58,33,0,1003.11,2.79032,34.7497,10,347.497,0,96.4831,1.53332,1.53332,8,12.2665,112.366,112.366,3.40583,138.933,1496860,1,1,0,-0.838184,6920.32,-25.1458,0.0129864,140.058,14.0594
21,58,318,25,107.967,0.300188,360.063,1,360.063,0,100,0,0,0,0,0,360,0,1310.14,14129800,0,0,0,-1.10708,16349.6,-33.2126,0.000159205,1.71782,2.76352
21,58,37,25,1040.98,2.90105,18.8474,14,263.864,16.5332,73.2692,6.41105,6.41105,15,96.1657,0,0,26.7031,-107.37,-1154010,1,0,1,-0.368109,9435.29,-11.0434,0.0443027,477.982,9.53862
21,58,37,25,592.129,1.64619,180.015,2,360.03,0,99.9815,0,0,0,0,0,360,0,-349.645,-3771270,0,0,0,0.301997,7032.64,9.06001,0.01964,211.935,6.17688
21,58,37,25,1834.19,5.09645,17.1261,19,325.397,0,90.3136,1.83682,1.83682,19,34.8997,7.36659,7.36659,9.68637,-3.21832,-34732.1,1,1,0,-0.839017,2574.04,-25.1707,0.0932887,1007.24,13.4156
21,58,37,25,1108.21,3.08067,118.554,3,355.663,0,98.7597,2.23331,2.23331,2,4.46662,187.431,187.431,1.24028,-110.335,-1190190,1,1,0,-0.875752,6078.53,-26.2728,0.0350127,377.857,9.281
21,58,313,25,2507.92,6.97361,71.1526,5,355.763,0,98.7966,1.08332,1.08332,4,4.33329,52.1328,52.1328,1.20337,-65.053,-701402,1,1,0,0.431152,3727.45,12.9347,0.0749843,809.006,13.6991
21,58,313,25,848.43,2.35896,17.2373,16,275.797,0,76.5969,5.61772,5.61772,15,84.2658,57.4994,57.4994,23.4031,-9.32896,-100613,1,1,0,-0.447432,6502.65,-13.4231,0.0281713,303.968,7.21001
21,58,313,25,126.624,0.352062,42.9162,4,171.665,0,47.6764,62.7994,62.7994,3,188.398,162.732,162.732,52.3236,-786.726,-8484840,1,1,0,-2.12549,13697.5,-63.7655,0.00264127,28.4993,2.60372
21,58,313,25,2676.4,7.44003,22.2664,13,289.464,0,80.3776,1.05277,1.05277,12,12.6332,119.432,119.432,3.50796,14.3374,154658,1,1,0,0.349048,4613.87,10.4716,0.0626422,676.035,14.2339
14,58,37,25,2381.52,6.60317,19.6535,18,353.763,0,97.9782,0.599994,0.599994,1,0.599994,136.432,136.432,0.166174,-98.6782,-1067200,1,1,0,-0.979846,3188.47,-29.3957,0.0409392,442.962,15.399
