Video File,Subject,TreatmentFactor,Mean_Burst_Activity_(%),Mean_Burst_Count,Mean_Burst_Count/Minute,Mean_Burst_Duration_(s),Mean_Inactivity_(%),Mean_Inactivity_Duration_(s),Mean_Total_Burst_Duration_(s),Clutch,Parentage,indv,ID
BMAA_5_3-9A_1.avi,S04,5,0,0,0,0,100,60.738016,0,3-9A,39,n,36
BMAA_5_3-9A_1.avi,S05,5,0,0,0,0,100,60.738016,0,3-9A,39,n,37
BMAA_5_3-9A_2.avi,S01,5,1.166180758,1,0.988730076,0.707684,98.83381924,59.976219,0.707684,3-9A,39,n,38
BMAA_5_3-9A_2.avi,S02,5,2.332361516,1,0.988730076,1.415368,97.66763848,59.268535,1.415368,3-9A,39,n,39
BMAA_5_3-9A_2.avi,S03,5,0,0,0,0,100,60.683903,0,3-9A,39,n,40
BMAA_5_3-9A_2.avi,S04,5,2.915451895,1,0.988730076,1.76921,97.0845481,58.914693,1.76921,3-9A,39,n,41
BMAA_5_3-9A_2.avi,S05,5,0,0,0,0,100,60.683903,0,3-9A,39,n,42
BMAA_5_3-18E_Blueberry.avi,S01,5,2.61627907,1,0.989597875,1.586268,97.38372093,59.04442,1.586268,3-18E,318,y,Blueberry
BMAA_5_3-18E_Cantaloupe.avi,S01,5,6.413994169,2,1.981615562,1.94205,93.58600583,56.67255,3.8841,3-18E,318,y,Cantaloupe
BMAA_5_3-18E_FrenchFry.avi,S01,5,5.23255814,2,1.980240631,1.585431,94.76744186,57.427834,3.170862,3-18E,318,y,FrenchFry
BMAA_5_3-9_Aloysius.avi,S01,5,0,0,0,0,100,60.252995,0,3-9A,39,y,Aloysius
BMAA_5_3-9_Bevie.avi,S01,5,0,0,0,0,100,60.715312,0,3-9A,39,y,Bevie
BMAA_5_3-9_Comet.avi,S01,5,0,0,0,0,100,60.738975,0,3-9A,39,y,Comet
BMAA_5_3-9_Dog.avi,S01,5,0,0,0,0,100,60.715388,0,3-9A,39,y,Dog
BMAA_5_3-9_Eve.avi,S01,5,6.094182825,3,2.836569131,1.289060667,93.90581717,59.589759,3.867182,3-9A,39,y,Eve
BMAA_5_3-9_Fountain.avi,S01,5,0,0,0,0,100,60.775545,0,3-9A,39,y,Fountain
BMAA_5_3-18E_Gabby_2.avi,S01,5,6.086956522,2,1.979490009,1.8450075,93.91304348,56.93166,3.690015,3-18E,318,y,Gabby
BMAA_5_3-9_Hamlet.avi,S01,5,0,0,0,0,100,60.563264,0,3-9A,39,y,Hamlet
BMAA_5_3-9_Jerry.avi,S01,5,0.869565217,1,0.986779863,0.528729,99.13043478,60.275106,0.528729,3-9A,39,y,Jerry
BMAA_5_3-9_Krieger.avi,S01,5,0,0,0,0,100,60.972466,0,3-9A,39,y,Krieger
BMAA_5_3-9_LilWayne_2.avi,S01,5,6.340057637,2,1.970795083,1.930203,93.65994236,57.028725,3.860406,3-9A,39,y,LilWayne
BMAA_5_3-18E_Heath.avi,S01,5,0,0,0,0,100,60.809154,0,3-18E,318,y,Heath
BMAA_5_3-18E_Idiot.avi,S01,5,0,0,0,0,100,60.62133,0,3-18E,318,y,Idiot
BMAA_5_3-18E_Juan.avi,S01,5,2.31884058,1,0.985812191,1.411328,97.68115942,59.452192,1.411328,3-18E,318,y,Juan
BMAA_5_3-18E_Kelley.avi,S01,5,8.139534884,5,4.957017372,0.9852136,91.86046512,55.594196,4.926068,3-18E,318,y,Kelley
BMAA_5_3-18E_Lauren.avi,S01,5,4.637681159,4,3.962475358,0.70224,95.36231884,57.75924,2.80896,3-18E,318,y,Lauren
BMAA_5_3-7G_1.avi,S01,5,4.069767442,2,1.982671714,1.231601,95.93023256,58.06119,2.463202,3-7G,37,n,43
BMAA_5_3-7G_1.avi,S02,5,2.906976744,4,3.965343427,0.4398575,97.09302326,58.764962,1.75943,3-7G,37,n,44
BMAA_5_3-7G_1.avi,S03,5,4.941860465,2,1.982671714,1.4955155,95.05813953,57.533361,2.991031,3-7G,37,n,45
BMAA_5_3-7G_1.avi,S04,5,6.976744186,5,4.956679284,0.8445264,93.02325581,56.30176,4.222632,3-7G,37,n,46
BMAA_5_3-7G_2.avi,S01,5,4.347826087,2,1.979782951,1.3176675,95.65217391,57.97737,2.635335,3-7G,37,n,47
BMAA_5_3-7G_2.avi,S02,5,9.855072464,4,3.959565903,1.4933565,90.14492754,54.639279,5.973426,3-7G,37,n,48
BMAA_5_3-7G_2.avi,S03,5,0,0,0,0,100,60.612705,0,3-7G,37,n,49
BMAA_5_3-18G_Gumby_2.avi,S01,5,6.12244898,2,1.981671684,1.8537225,93.87755102,56.84749,3.707445,3-18G,318,y,Gumby
BMAA_5_3-18G_Harriet_1.avi,S01,5,2.608695652,1,0.990833306,1.579698,97.39130435,58.975392,1.579698,3-18G,318,y,Harriet
BMAA_5_3-18G_IceCube_2.avi,S01,5,4.069767442,1,0.990142798,2.46617,95.93023256,58.13115,2.46617,3-18G,318,y,IceCube
BMAA_5_3-18G_Junction_1.avi,S01,5,2.898550725,2,1.979782951,0.878445,97.10144928,58.855815,1.75689,3-18G,318,y,Junction
BMAA_5_3-18G_KaLyn_1.avi,S01,5,3.779069767,2,1.980600415,1.1448255,96.22093023,58.298037,2.289651,3-18G,318,y,KaLyn
BMAA_5_3-18G_Manta.avi,S01,5,2.325581395,2,1.979117148,0.705036,97.6744186,59.223024,1.410072,3-18G,318,y,Manta
BMAA_5_3-18G_Newberry.avi,S01,5,1.457725948,2,1.981144261,0.44148,98.54227405,59.688096,0.88296,3-18G,318,y,Newberry
BMAA_5_3-18G_Ollie2.avi,S01,5,1.162790698,1,0.989474367,0.705096,98.8372093,59.93316,0.705096,3-18G,318,y,Ollie2
BMAA_5_3-18G_Pinkie.avi,S01,5,2.601156069,3,2.963875105,0.526572,97.39884393,59.151588,1.579716,3-18G,318,y,Pinkie
BMAA_5_3-18G_Quan2.avi,S01,5,3.179190751,2,1.975714127,0.965481,96.82080925,58.80657,1.930962,3-18G,318,y,Quan2
BMAA_5_3-18G_Rally_1.avi,S01,5,3.179190751,2,1.975714127,0.965481,96.82080925,58.80657,1.930962,3-18G,318,y,Rally
